Tanggal,Price,Trend,Cash,BTC_Units,BTC_Value,Total_Value,Allocation,Coupon_Received
2021-03-04,48368.0,1.0,0.0,0.0,0.0,0.0,,0.0
2021-03-05,48811.0,1.0,0.0,0.0,0.0,0.0,,0.0
2021-03-06,48895.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-03-07,51031.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-03-08,52395.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-03-09,54949.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-03-10,55955.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-03-11,57869.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-03-12,57315.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-03-13,61207.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-03-14,59005.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-03-15,55644.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-03-16,56924.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-03-17,58870.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-03-18,57640.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-03-19,58074.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-03-20,58087.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-03-21,57368.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-03-22,54074.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0
2021-03-23,54331.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0
2021-03-24,52347.2,0.5,0.0,0.0,0.0,0.0,0.75,0.0
2021-03-25,51363.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0
2021-03-26,54992.9,0.5,0.0,0.0,0.0,0.0,0.75,0.0
2021-03-27,55886.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0
2021-03-28,55773.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0
2021-03-29,57672.3,1.0,0.0,0.0,0.0,0.0,0.75,0.0
2021-03-30,58841.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-03-31,58796.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-01,58727.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-02,58959.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-03,57023.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-04,58240.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-05,59145.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-06,57991.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-07,55960.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-08,58110.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-09,58114.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-10,59823.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-11,60034.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-12,59900.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-13,63518.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-14,62942.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-15,63196.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-16,61325.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-17,59970.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-18,56163.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-19,55639.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0
2021-04-20,56476.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0
2021-04-21,53822.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
2021-04-22,51781.3,0.0,0.0,0.0,0.0,0.0,0.75,0.0
2021-04-23,51139.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2021-04-24,50167.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2021-04-25,49116.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2021-04-26,54103.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2021-04-27,55044.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2021-04-28,54860.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2021-04-29,53566.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
2021-04-30,57637.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
2021-05-01,57774.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
2021-05-02,56605.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0
2021-05-03,57147.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0
2021-05-04,53264.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
2021-05-05,57477.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0
2021-05-06,56451.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0
2021-05-07,57349.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0
2021-05-08,58894.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-09,58276.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-10,55851.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-11,56715.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-12,49725.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-13,49747.0,-0.5,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-14,49917.0,-0.5,0.0,0.0,0.0,0.0,1.0,0.0
2021-05-15,46784.9,-0.5,0.0,0.0,0.0,0.0,0.25,0.0
2021-05-16,46582.9,-0.5,0.0,0.0,0.0,0.0,0.25,0.0
2021-05-17,43544.0,-1.0,0.0,0.0,0.0,0.0,0.25,0.0
2021-05-18,42935.0,-1.0,0.0,0.0,0.0,0.0,0.25,0.0
2021-05-19,36755.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-20,40578.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-21,37415.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-22,37585.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-23,34730.3,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-24,38772.9,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-25,38363.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-26,39301.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-27,38435.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-28,35667.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-29,34570.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-30,35615.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-31,37305.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,36672.6,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-02,37590.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-03,39209.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-04,36854.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-05,35543.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-06,35782.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-07,33596.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-08,33415.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-09,37347.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-10,36649.2,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-11,37338.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-12,35531.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-13,39004.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-14,40500.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-15,40139.0,-0.5,0.0,0.0,0.0,0.0,0.25,0.0
2021-06-16,38332.0,-0.5,0.0,0.0,0.0,0.0,0.25,0.0
2021-06-17,38061.0,-0.5,0.0,0.0,0.0,0.0,0.25,0.0
2021-06-18,35802.0,-1.0,0.0,0.0,0.0,0.0,0.25,0.0
2021-06-19,35585.8,-1.0,0.0,0.0,0.0,0.0,0.25,0.0
2021-06-20,35631.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-21,31761.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-22,32553.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-23,33703.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-24,34656.6,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-25,31584.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-26,32359.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-27,34717.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-28,34484.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-29,35895.9,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-30,35043.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,33554.4,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-02,33816.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-03,34758.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-04,35289.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-05,33668.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-06,34140.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-07,33886.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-08,32873.9,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-09,33769.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-10,33506.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-11,34239.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-12,33090.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-13,32727.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-14,32822.6,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-15,31857.0,-1.0,1990.29,0.0,0.0,1990.29,0.0,1990.29
2021-07-16,31429.0,-1.0,1990.29,0.0,0.0,1990.29,0.0,0.0
2021-07-17,31559.0,-1.0,1990.29,0.0,0.0,1990.29,0.0,0.0
2021-07-18,31824.0,-1.0,1990.29,0.0,0.0,1990.29,0.0,0.0
2021-07-19,30847.0,-1.0,1990.29,0.0,0.0,1990.29,0.0,0.0
2021-07-20,29806.1,-1.0,1990.29,0.0,0.0,1990.29,0.0,0.0
2021-07-21,32141.0,-1.0,1990.29,0.0,0.0,1990.29,0.0,0.0
2021-07-22,32320.0,-1.0,1990.29,0.0,0.0,1990.29,0.0,0.0
2021-07-23,33597.1,-0.5,1990.29,0.0,0.0,1990.29,0.0,0.0
2021-07-24,33845.0,-0.5,1990.29,0.0,0.0,1990.29,0.0,0.0
2021-07-25,35407.0,-0.5,1492.7175,0.01405294150874121,497.57250000000005,1990.29,0.25,0.0
2021-07-26,37296.0,0.0,1492.7175,0.01405294150874121,524.1185065100121,2016.836006510012,0.25,0.0
2021-07-27,39563.0,0.0,1492.7175,0.01405294150874121,555.9765249103285,2048.6940249103286,0.25,0.0
2021-07-28,40004.0,0.0,1027.4456860578416,0.025683573794066633,1027.4456860578416,2054.891372115683,0.5,0.0
2021-07-29,40041.0,0.0,1027.4456860578416,0.025683573794066633,1028.395978288222,2055.8416643460637,0.5,0.0
2021-07-30,42169.0,0.0,1027.4456860578416,0.025683573794066633,1083.0506233219958,2110.4963093798374,0.5,0.0
2021-07-31,41409.0,0.5,1027.4456860578416,0.025683573794066633,1063.5311072385052,2090.976793296347,0.5,0.0
2021-08-01,39922.0,0.5,1027.4456860578416,0.025683573794066633,1025.339633006728,2052.7853190645696,0.5,0.0
2021-08-02,39156.0,0.5,508.2779253845788,0.038942531825358465,1524.833776153736,2033.1117015383147,0.75,0.0
2021-08-03,38207.0,0.5,508.2779253845788,0.038942531825358465,1487.8773134514709,1996.1552388360496,0.75,0.0
2021-08-04,39754.0,0.5,508.2779253845788,0.038942531825358465,1548.1214101853004,2056.3993355698794,0.75,0.0
2021-08-05,40887.0,0.5,508.2779253845788,0.038942531825358465,1592.2432987434315,2100.5212241280105,0.75,0.0
2021-08-06,42830.0,0.5,508.2779253845788,0.038942531825358465,1667.908638080103,2176.186563464682,0.75,0.0
2021-08-07,44589.0,0.5,508.2779253845788,0.038942531825358465,1736.4085515609086,2244.6864769454874,0.75,0.0
2021-08-08,43770.0,0.5,508.2779253845788,0.038942531825358465,1704.51461799594,2212.7925433805185,0.75,0.0
2021-08-09,46293.0,0.5,508.2779253845788,0.038942531825358465,1802.7666257913195,2311.044551175898,0.75,0.0
2021-08-10,45612.0,0.5,508.2779253845788,0.038942531825358465,1776.2467616182503,2284.524687002829,0.75,0.0
2021-08-11,45546.0,0.5,508.2779253845788,0.038942531825358465,1773.6765545177766,2281.954479902355,0.75,0.0
2021-08-12,44423.0,0.5,508.2779253845788,0.038942531825358465,1729.9440912778991,2238.222016662478,0.75,0.0
2021-08-13,47842.0,0.5,508.2779253845788,0.038942531825358465,1863.0886075887997,2371.3665329733785,0.75,0.0
2021-08-14,47084.0,0.5,508.2779253845788,0.038942531825358465,1833.5701684651779,2341.848093849757,0.75,0.0
2021-08-15,47031.0,0.5,508.2779253845788,0.038942531825358465,1831.5062142784338,2339.784139663013,0.75,0.0
2021-08-16,45940.0,0.5,508.2779253845788,0.038942531825358465,1789.0199120569678,2297.2978374415466,0.75,0.0
2021-08-17,44698.0,0.5,508.2779253845788,0.038942531825358465,1740.6532875298726,2248.9312129144514,0.75,0.0
2021-08-18,44744.0,0.5,508.2779253845788,0.038942531825358465,1742.4446439938392,2250.722569378418,0.75,0.0
2021-08-19,46765.0,0.5,508.2779253845788,0.038942531825358465,1821.1475008128887,2329.4254261974675,0.75,0.0
2021-08-20,49332.0,0.5,508.2779253845788,0.038942531825358465,1921.1129800085837,2429.3909053931625,0.75,0.0
2021-08-21,48868.0,1.0,508.2779253845788,0.038942531825358465,1903.0436452416175,2411.3215706261963,0.75,0.0
2021-08-22,49264.0,1.0,508.2779253845788,0.038942531825358465,1918.4648878444593,2426.742813229038,0.75,0.0
2021-08-23,49539.0,1.0,0.0,0.049202688982034594,2437.452009481012,2437.452009481012,1.0,0.0
