Tanggal,Price,Trend_Indicator
2015-06-29,256.7,0.5
2015-06-30,262.9,0.5
2015-07-01,258.1,0.5
2015-07-02,254.5,0.5
2015-07-03,256.0,0.5
2015-07-04,260.6,0.5
2015-07-05,265.2,0.5
2015-07-06,274.8,0.5
2015-07-07,265.5,0.5
2015-07-08,270.8,0.5
2015-07-09,269.2,0.5
2015-07-10,286.7,0.5
2015-07-12,311.1,1.0
2015-07-13,292.6,1.0
2015-07-14,286.9,1.0
2015-07-15,285.4,1.0
2015-07-16,278.9,1.0
2015-07-17,279.9,1.0
2015-07-18,277.3,1.0
2015-07-19,275.0,1.0
2015-07-20,280.3,1.0
2015-07-21,275.8,1.0
2015-07-22,278.0,1.0
2015-07-23,276.5,1.0
2015-07-24,288.6,1.0
2015-07-25,289.4,1.0
2015-07-26,293.0,1.0
2015-07-27,294.8,1.0
2015-07-28,295.2,1.0
2015-07-29,289.9,1.0
2015-07-30,288.2,1.0
2015-07-31,284.5,1.0
2015-08-01,280.3,0.5
2015-08-02,282.5,0.5
2015-08-03,281.3,0.5
2015-08-04,285.5,0.5
2015-08-05,282.6,0.5
2015-08-06,279.1,0.5
2015-08-07,280.1,0.5
2015-08-08,261.3,0.0
2015-08-09,265.6,0.0
2015-08-10,265.1,0.0
2015-08-11,272.0,0.0
2015-08-12,267.1,0.0
2015-08-13,264.5,0.0
2015-08-14,266.1,0.0
2015-08-15,262.1,0.0
2015-08-16,259.9,-0.5
2015-08-17,258.5,-1.0
2015-08-18,183.0,-1.0
2015-08-19,226.2,-1.0
2015-08-20,235.5,-1.0
2015-08-21,232.2,-1.0
2015-08-22,230.3,-1.0
2015-08-23,228.5,-1.0
2015-08-24,210.5,-1.0
2015-08-25,222.7,-1.0
2015-08-26,226.2,-1.0
2015-08-27,225.8,-1.0
2015-08-28,231.8,-1.0
2015-08-29,230.8,-1.0
2015-08-30,230.0,-1.0
2015-08-31,231.4,-1.0
2015-09-01,228.2,-1.0
2015-09-02,229.7,-1.0
2015-09-03,227.3,-1.0
2015-09-04,230.9,-1.0
2015-09-05,235.8,-0.5
2015-09-06,241.0,-0.5
2015-09-07,240.9,-0.5
2015-09-08,244.2,-0.5
2015-09-09,238.9,-0.5
2015-09-10,239.5,-0.5
2015-09-11,240.6,-0.5
2015-09-12,235.8,-0.5
2015-09-13,231.0,-1.0
2015-09-14,230.9,-1.0
2015-09-15,230.9,-1.0
2015-09-16,229.0,-1.0
2015-09-17,233.6,-1.0
2015-09-18,233.8,-1.0
2015-09-19,232.1,-1.0
2015-09-20,232.1,-1.0
2015-09-21,227.2,-1.0
2015-09-22,231.3,-1.0
2015-09-23,230.5,-1.0
2015-09-24,234.6,-0.5
2015-09-25,235.3,-0.5
2015-09-26,234.6,-0.5
2015-09-27,233.4,-0.5
2015-09-28,240.4,-0.5
2015-09-29,236.8,0.0
2015-09-30,236.5,0.0
2015-10-01,238.5,0.0
2015-10-02,237.9,0.0
2015-10-03,239.8,0.0
2015-10-04,239.5,0.0
2015-10-05,242.0,0.0
2015-10-06,247.4,0.0
2015-10-07,244.2,0.0
2015-10-08,243.0,0.0
2015-10-09,244.8,0.0
2015-10-10,246.0,0.0
2015-10-11,247.9,0.5
2015-10-12,246.1,0.5
2015-10-13,251.3,0.5
2015-10-14,253.5,0.5
2015-10-15,255.2,0.5
2015-10-16,263.5,0.5
2015-10-17,272.9,0.5
2015-10-18,265.0,0.5
2015-10-19,265.0,0.5
2015-10-20,271.0,0.5
2015-10-21,267.8,0.5
2015-10-22,275.8,0.5
2015-10-23,279.2,0.5
2015-10-24,284.2,0.5
2015-10-25,284.8,0.5
2015-10-26,287.2,0.5
2015-10-27,295.2,0.5
2015-10-28,304.5,1.0
2015-10-29,314.9,1.0
2015-10-30,328.2,1.0
2015-10-31,316.0,1.0
2015-11-01,330.7,1.0
2015-11-02,365.0,1.0
2015-11-03,405.3,1.0
2015-11-04,409.2,1.0
2015-11-05,388.0,1.0
2015-11-06,375.6,1.0
2015-11-07,384.6,1.0
2015-11-08,374.0,1.0
2015-11-09,381.0,1.0
2015-11-10,340.2,1.0
2015-11-11,314.0,0.5
2015-11-12,336.6,0.5
2015-11-13,338.5,0.5
2015-11-14,333.4,0.5
2015-11-15,321.1,0.5
2015-11-16,332.1,0.5
2015-11-17,336.3,0.5
2015-11-18,336.0,0.5
2015-11-19,326.5,0.5
2015-11-20,322.2,0.5
2015-11-21,327.5,0.5
2015-11-22,324.7,0.5
2015-11-23,323.6,0.5
2015-11-24,320.1,0.0
2015-11-25,329.9,0.5
2015-11-26,354.0,1.0
2015-11-27,358.9,1.0
2015-11-28,358.7,1.0
2015-11-29,373.3,1.0
2015-11-30,376.9,1.0
2015-12-01,362.7,1.0
2015-12-02,359.1,1.0
2015-12-03,360.7,1.0
2015-12-04,363.2,1.0
2015-12-05,390.0,1.0
2015-12-06,390.6,1.0
2015-12-07,396.7,1.0
2015-12-08,420.8,1.0
2015-12-09,418.7,1.0
2015-12-10,414.9,1.0
2015-12-11,456.3,1.0
2015-12-12,435.7,1.0
2015-12-13,433.0,1.0
2015-12-14,442.6,1.0
2015-12-15,466.5,1.0
2015-12-16,455.0,1.0
2015-12-17,455.8,1.0
2015-12-18,463.5,1.0
2015-12-19,462.5,1.0
2015-12-20,442.6,1.0
2015-12-21,437.9,1.0
2015-12-22,435.6,1.0
2015-12-23,442.6,1.0
2015-12-24,456.1,1.0
2015-12-25,455.5,1.0
2015-12-26,416.5,0.5
2015-12-27,422.4,0.5
2015-12-28,420.2,0.5
2015-12-29,431.9,0.5
2015-12-30,424.7,0.5
2015-12-31,429.0,0.5
2016-01-01,434.0,0.5
2016-01-02,432.7,0.5
2016-01-03,428.7,0.5
2016-01-04,432.9,0.5
2016-01-05,431.8,0.5
2016-01-06,428.0,0.5
2016-01-07,459.0,1.0
2016-01-08,454.0,1.0
2016-01-09,449.2,1.0
2016-01-10,449.4,1.0
2016-01-11,449.3,1.0
2016-01-12,432.0,1.0
2016-01-13,431.1,0.5
2016-01-14,429.3,0.5
2016-01-15,358.9,0.0
2016-01-16,388.4,0.0
2016-01-17,382.1,0.0
2016-01-18,387.0,0.0
2016-01-19,379.0,0.0
2016-01-20,419.4,0.0
2016-01-21,411.0,0.0
2016-01-22,381.0,0.0
2016-01-23,385.6,-0.5
2016-01-24,402.8,-0.5
2016-01-25,391.0,-0.5
2016-01-26,391.3,-0.5
2016-01-27,395.0,-0.5
2016-01-28,378.4,-0.5
2016-01-29,377.6,-0.5
2016-01-30,377.0,-0.5
2016-01-31,365.5,-0.5
2016-02-01,371.4,-0.5
2016-02-02,372.9,-0.5
2016-02-03,369.0,-1.0
2016-02-04,389.8,-1.0
2016-02-05,386.5,-1.0
2016-02-06,373.8,-1.0
2016-02-07,372.0,-1.0
2016-02-08,370.5,-1.0
2016-02-09,374.0,-1.0
2016-02-10,380.9,-1.0
2016-02-11,378.0,-1.0
2016-02-12,383.0,-0.5
2016-02-13,393.0,-0.5
2016-02-14,408.3,-0.5
2016-02-15,399.9,0.0
2016-02-16,407.3,0.0
2016-02-17,414.9,0.0
2016-02-18,421.5,0.5
2016-02-19,420.0,0.5
2016-02-20,438.7,0.5
2016-02-21,440.5,0.5
2016-02-22,440.3,0.5
2016-02-23,421.1,1.0
2016-02-24,426.4,1.0
2016-02-25,424.9,1.0
2016-02-26,435.3,1.0
2016-02-27,434.2,1.0
2016-02-28,434.5,1.0
2016-02-29,439.2,1.0
2016-03-01,434.8,1.0
2016-03-02,422.2,1.0
2016-03-03,420.6,0.5
2016-03-04,408.8,0.5
2016-03-05,397.4,0.5
2016-03-06,403.9,0.0
2016-03-07,412.7,-0.5
2016-03-08,411.4,-0.5
2016-03-09,412.9,-0.5
2016-03-10,416.5,-0.5
2016-03-11,420.5,0.5
2016-03-12,410.0,-0.5
2016-03-13,411.8,-0.5
2016-03-14,416.0,-0.5
2016-03-15,415.5,0.0
2016-03-16,417.3,0.5
2016-03-17,418.8,0.5
2016-03-18,407.7,-0.5
2016-03-19,408.4,-0.5
2016-03-20,411.3,-0.5
2016-03-21,411.9,-0.5
2016-03-22,417.7,0.0
2016-03-23,418.1,0.5
2016-03-24,415.3,0.5
2016-03-25,416.0,0.5
2016-03-26,416.7,0.5
2016-03-27,427.4,0.5
2016-03-28,424.1,0.5
2016-03-29,415.8,0.5
2016-03-30,413.2,0.0
2016-03-31,416.0,0.0
2016-04-01,417.6,0.5
2016-04-02,420.3,0.5
2016-04-03,420.6,0.5
2016-04-04,420.5,0.5
2016-04-05,423.8,0.5
2016-04-06,422.6,0.5
2016-04-07,422.3,0.5
2016-04-08,418.5,0.5
2016-04-09,418.5,0.5
2016-04-10,421.3,0.5
2016-04-11,423.7,0.5
2016-04-12,426.6,0.5
2016-04-13,424.8,0.5
2016-04-14,426.0,0.5
2016-04-15,431.5,0.5
2016-04-16,432.0,0.5
2016-04-17,428.5,0.5
2016-04-18,430.0,0.5
2016-04-19,437.8,0.5
2016-04-20,444.0,0.5
2016-04-21,452.0,0.5
2016-04-22,447.8,0.5
2016-04-23,453.7,0.5
2016-04-24,463.0,0.5
2016-04-25,461.8,0.5
2016-04-26,468.1,0.5
2016-04-27,445.1,0.5
2016-04-28,450.5,0.5
2016-04-29,455.3,0.5
2016-04-30,446.6,0.5
2016-05-01,451.1,0.5
2016-05-02,443.7,0.0
2016-05-03,450.4,0.5
2016-05-04,447.4,0.5
2016-05-05,448.4,0.5
2016-05-06,461.2,0.5
2016-05-07,460.2,0.5
2016-05-08,459.9,0.5
2016-05-09,461.6,1.0
2016-05-10,450.7,0.5
2016-05-11,452.3,0.5
2016-05-12,455.0,0.5
2016-05-13,455.8,0.5
2016-05-14,455.8,0.5
