price_date,price_value_price,price_value_yield,btc_close
2021-03-04,128.75,3.29,48368.0
2021-03-05,128.75,3.29,48811.0
2021-03-08,128.75,3.29,52395.0
2021-03-09,128.75,3.29,54949.4
2021-03-10,128.75,3.29,55955.2
2021-03-15,116.5,3.93,55644.0
2021-03-16,116.5,3.93,56924.0
2021-03-17,116.5,3.93,58870.0
2021-03-18,116.5,3.93,57640.0
2021-03-19,116.5,3.93,58074.0
2021-03-22,116.5,3.93,54074.0
2021-03-23,116.5,3.93,54331.0
2021-03-24,116.5,3.93,52347.2
2021-03-25,116.5,3.93,51363.0
2021-03-26,116.5,3.93,54992.9
2021-03-29,116.5,3.93,57672.3
2021-03-30,116.5,3.93,58841.0
2021-03-31,116.5,3.93,58796.0
2021-04-01,116.5,3.93,58727.4
2021-04-05,116.5,3.93,59145.0
2021-04-06,116.5,3.93,57991.0
2021-04-07,116.5,3.93,55960.0
2021-04-08,116.5,3.93,58110.0
2021-04-09,116.5,3.93,58114.0
2021-04-12,116.5,3.93,59900.0
2021-04-13,116.5,3.93,63518.0
2021-04-14,116.5,3.93,62942.7
2021-04-15,116.5,3.93,63196.0
2021-04-16,116.5,3.93,61325.0
2021-04-19,116.5,3.93,55639.0
2021-04-20,116.5,3.93,56476.0
2021-04-21,116.5,3.93,53822.0
2021-04-22,116.5,3.93,51781.3
2021-04-23,116.5,3.93,51139.0
2021-04-26,116.5,3.93,54103.0
2021-04-27,116.5,3.93,55044.0
2021-04-28,116.5,3.93,54860.0
2021-04-29,116.5,3.93,53566.0
2021-04-30,116.5,3.93,57637.0
2021-05-03,116.5,3.93,57147.0
2021-05-04,116.5,3.93,53264.0
2021-05-05,116.5,3.93,57477.0
2021-05-06,116.5,3.93,56451.0
2021-05-07,116.5,3.93,57349.0
2021-05-10,116.5,3.93,55851.0
2021-05-11,116.5,3.93,56715.0
2021-05-20,116.5,3.93,40578.0
2021-05-21,116.5,3.93,37415.0
2021-05-24,116.5,3.93,38772.9
2021-05-25,116.5,3.93,38363.0
2021-05-27,116.5,3.93,38435.0
2021-05-28,116.5,3.93,35667.0
2021-05-31,116.5,3.93,37305.0
2021-06-02,116.5,3.93,37590.0
2021-06-03,116.5,3.93,39209.0
2021-06-04,116.5,3.93,36854.0
2021-06-07,116.5,3.93,33596.0
2021-06-08,116.5,3.93,33415.0
2021-06-09,116.5,3.93,37347.0
2021-06-10,116.5,3.93,36649.2
2021-06-11,116.5,3.93,37338.0
2021-06-14,116.5,3.93,40500.0
2021-06-15,116.5,3.93,40139.0
2021-06-16,116.5,3.93,38332.0
2021-06-17,116.5,3.93,38061.0
2021-06-18,116.5,3.93,35802.0
2021-06-21,116.5,3.93,31761.0
2021-06-22,116.5,3.93,32553.0
2021-06-23,116.5,3.93,33703.0
2021-06-24,116.5,3.93,34656.6
2021-06-25,116.5,3.93,31584.0
2021-06-28,116.5,3.93,34484.0
2021-06-29,116.5,3.93,35895.9
2021-06-30,116.5,3.93,35043.5
2021-07-01,116.5,3.93,33554.4
2021-07-02,116.5,3.93,33816.0
2021-07-05,116.5,3.93,33668.0
2021-07-06,116.5,3.93,34140.0
2021-07-07,116.5,3.93,33886.0
2021-07-08,116.5,3.93,32873.9
2021-07-09,116.5,3.93,33769.0
2021-07-12,116.5,3.93,33090.0
2021-07-13,116.5,3.93,32727.0
2021-07-14,116.5,3.93,32822.6
2021-07-15,116.5,3.93,31857.0
2021-07-16,116.5,3.93,31429.0
2021-07-19,116.5,3.93,30847.0
2021-07-21,116.5,3.93,32141.0
2021-07-22,116.5,3.93,32320.0
2021-07-23,116.5,3.93,33597.1
2021-07-26,116.5,3.93,37296.0
2021-07-27,116.5,3.93,39563.0
2021-07-28,116.5,3.93,40004.0
2021-07-29,116.5,3.93,40041.0
2021-07-30,116.5,3.93,42169.0
2021-08-02,116.5,3.93,39156.0
2021-08-03,116.5,3.93,38207.0
2021-08-04,116.5,3.93,39754.0
2021-08-05,116.5,3.93,40887.0
2021-08-06,116.5,3.93,42830.0
2021-08-09,116.5,3.93,46293.0
2021-08-12,116.5,3.93,44423.0
2021-08-13,116.5,3.93,47842.0
2021-08-16,116.5,3.93,45940.0
2021-08-18,116.5,3.93,44744.0
2021-08-19,116.5,3.93,46765.0
2021-08-20,116.5,3.93,49332.0
2021-08-23,116.5,3.93,49539.0
2021-08-24,116.5,3.93,47714.0
2021-08-25,116.5,3.93,48989.0
2021-08-26,116.5,3.93,46832.0
2021-08-27,116.5,3.93,49076.1
2021-08-30,116.5,3.93,47008.0
2021-08-31,116.5,3.93,47157.0
2021-09-01,116.5,3.93,48844.0
2021-09-02,116.5,3.93,49291.0
2021-09-03,116.5,3.93,50000.0
2021-09-06,116.5,3.93,52676.0
2021-09-07,116.5,3.93,46778.0
2021-09-08,116.5,3.93,46088.0
2021-09-09,116.5,3.93,46389.0
2021-09-10,116.5,3.93,44852.0
2021-09-13,116.5,3.93,44960.0
2021-09-14,116.5,3.93,47078.0
2021-09-15,116.5,3.93,48136.0
2021-09-16,116.5,3.93,47786.0
2021-09-17,116.5,3.93,47292.0
2021-09-20,116.5,3.93,43002.0
2021-09-21,116.5,3.93,40664.0
2021-09-22,116.5,3.93,43582.6
2021-09-23,116.5,3.93,44882.0
2021-09-24,116.5,3.93,42878.0
2021-09-27,116.5,3.93,42191.0
2021-09-28,116.5,3.93,41064.0
2021-09-29,116.5,3.93,41551.0
2021-09-30,116.5,3.93,43830.0
2021-10-01,116.5,3.93,48157.0
2021-10-04,116.5,3.93,49252.0
2021-10-05,116.5,3.93,51508.0
2021-10-06,116.5,3.93,55331.0
2021-10-07,116.5,3.93,53793.0
2021-10-08,116.5,3.93,53925.0
2021-10-11,116.5,3.93,57468.0
2021-10-12,116.5,3.93,55967.0
2021-10-13,116.5,3.93,57381.0
2021-10-14,116.5,3.93,57354.0
2021-10-15,116.5,3.93,61709.0
2021-10-18,116.5,3.93,62034.0
2021-10-21,116.5,3.93,62200.0
2021-10-22,116.5,3.93,60708.0
2021-10-25,116.5,3.93,63100.0
2021-10-26,116.5,3.93,60290.0
2021-10-27,120.25,3.7,58453.0
2021-10-28,120.25,3.7,60598.0
2021-10-29,120.25,3.7,62235.0
2021-11-01,120.25,3.7,60927.0
2021-11-02,120.25,3.7,63249.0
2021-11-03,120.25,3.7,62904.0
2021-11-04,120.25,3.7,61422.8
2021-11-05,120.25,3.7,61016.4
2021-11-08,120.25,3.7,67526.0
2021-11-09,120.25,3.7,66935.0
2021-11-10,120.25,3.7,64954.0
2021-11-11,120.25,3.7,64801.0
2021-11-12,120.25,3.7,64156.0
2021-11-15,120.25,3.7,63562.0
2021-11-16,120.25,3.7,60124.0
2021-11-17,120.25,3.7,60386.1
2021-11-18,120.25,3.7,57014.0
2021-11-19,120.25,3.7,58130.0
2021-11-22,120.25,3.7,56299.0
2021-11-23,120.25,3.7,57602.0
2021-11-24,120.25,3.7,57209.0
2021-11-25,120.25,3.7,58995.0
2021-11-26,120.25,3.7,53738.0
2021-11-29,120.25,3.7,57845.0
2021-11-30,120.25,3.7,56938.0
2021-12-01,120.25,3.7,57250.0
2021-12-02,119.75,3.73,56517.0
2021-12-03,119.75,3.73,53709.0
2021-12-06,119.75,3.73,50566.6
2021-12-07,119.75,3.73,50634.0
2021-12-08,119.75,3.73,50503.4
2021-12-09,119.75,3.73,47611.0
2021-12-10,119.75,3.73,47170.0
2021-12-13,119.75,3.73,46777.0
2021-12-14,119.75,3.73,48408.0
2021-12-15,119.75,3.73,48901.0
2021-12-16,119.75,3.73,47675.0
2021-12-17,119.75,3.73,46193.0
2021-12-20,119.75,3.73,46898.0
2021-12-21,119.75,3.73,48923.0
2021-12-22,119.75,3.73,48626.0
2021-12-23,119.75,3.73,50812.0
2021-12-28,119.75,3.73,47554.0
2021-12-29,119.75,3.73,46465.0
2021-12-30,119.75,3.73,47156.0
2021-12-31,119.75,3.73,46218.0
2022-01-03,119.75,3.73,46445.0
2022-01-04,119.75,3.73,45830.0
2022-01-05,121.63,3.63,43418.0
2022-01-06,121.63,3.63,43111.0
2022-01-07,121.63,3.63,41518.0
2022-01-10,121.63,3.63,41839.0
2022-01-11,121.63,3.63,42743.0
2022-01-12,121.63,3.63,43909.0
2022-01-13,121.63,3.63,42562.0
2022-01-14,121.63,3.63,43091.0
2022-01-17,121.63,3.63,42242.0
2022-01-18,121.63,3.63,42390.0
2022-01-19,121.63,3.63,41676.0
2022-01-20,117.0,3.9,40740.0
2022-01-21,117.0,3.9,36501.0
2022-01-24,117.0,3.9,36702.0
2022-01-25,117.0,3.9,36994.0
2022-01-26,117.0,3.9,36830.8
2022-01-27,117.0,3.9,37217.0
2022-01-28,117.0,3.9,37759.8
2022-01-31,117.0,3.9,38526.0
2022-02-02,117.0,3.9,36925.0
2022-02-03,117.0,3.9,37331.0
2022-02-04,115.75,3.99,41562.7
2022-02-07,115.75,3.99,43865.0
2022-02-08,115.75,3.99,44060.5
2022-02-09,113.25,4.11,44432.0
2022-02-10,113.25,4.11,43545.0
2022-02-11,113.25,4.11,42418.0
2022-02-14,114.5,4.06,42559.9
2022-02-15,113.25,4.12,44559.9
2022-02-16,113.0,4.14,43885.0
2022-02-17,113.0,4.14,40556.0
2022-02-18,113.0,4.14,40037.0
2022-02-21,113.0,4.14,37054.0
2022-02-22,113.0,4.14,38299.0
2022-02-23,113.0,4.14,37292.0
2022-02-24,113.0,4.14,38380.0
2022-02-25,113.0,4.14,39243.0
2022-03-01,111.5,4.26,44442.0
2022-03-02,111.5,4.26,43952.0
2022-03-04,111.5,4.26,39171.0
2022-03-07,111.5,4.26,38039.0
2022-03-08,111.5,4.26,38757.0
2022-03-09,111.5,4.26,41962.3
2022-03-10,111.5,4.26,39458.5
2022-03-11,111.5,4.26,38737.0
2022-03-14,111.5,4.26,39717.0
2022-03-15,111.5,4.26,39317.0
2022-03-16,111.5,4.26,41148.0
2022-03-17,111.5,4.26,40942.6
2022-03-18,111.5,4.26,41774.0
2022-03-21,111.5,4.26,41031.0
2022-03-22,111.5,4.26,42370.0
2022-03-23,111.5,4.26,42882.0
2022-03-24,111.5,4.26,44003.0
2022-03-25,111.5,4.26,44337.0
2022-03-28,111.5,4.26,47105.0
2022-03-29,111.5,4.26,47424.0
2022-03-30,111.5,4.26,47035.0
2022-03-31,111.5,4.26,45535.0
2022-04-01,111.5,4.26,46301.0
2022-04-04,111.5,4.26,46611.1
2022-04-05,111.5,4.26,45481.0
2022-04-06,111.5,4.26,43199.0
2022-04-07,111.5,4.26,43458.0
2022-04-08,111.5,4.26,42277.0
2022-04-11,111.5,4.26,39565.0
2022-04-12,111.5,4.26,40087.0
2022-04-13,111.5,4.26,41155.0
2022-04-14,111.5,4.26,39948.0
2022-04-18,111.5,4.26,40821.0
2022-04-19,111.5,4.26,41516.8
2022-04-20,111.5,4.26,41366.4
2022-04-21,111.5,4.26,40502.0
2022-04-22,111.5,4.26,39724.0
2022-04-25,111.5,4.26,40456.0
2022-04-26,111.5,4.26,38139.0
