price_date,price_value_price,price_value_yield
2021-03-04,128.75,3.29
2021-03-05,128.75,3.29
2021-03-08,128.75,3.29
2021-03-09,128.75,3.29
2021-03-10,128.75,3.29
2021-03-15,116.5,3.93
2021-03-16,116.5,3.93
2021-03-17,116.5,3.93
2021-03-18,116.5,3.93
2021-03-19,116.5,3.93
2021-03-22,116.5,3.93
2021-03-23,116.5,3.93
2021-03-24,116.5,3.93
2021-03-25,116.5,3.93
2021-03-26,116.5,3.93
2021-03-29,116.5,3.93
2021-03-30,116.5,3.93
2021-03-31,116.5,3.93
2021-04-01,116.5,3.93
2021-04-05,116.5,3.93
2021-04-06,116.5,3.93
2021-04-07,116.5,3.93
2021-04-08,116.5,3.93
2021-04-09,116.5,3.93
2021-04-12,116.5,3.93
2021-04-13,116.5,3.93
2021-04-14,116.5,3.93
2021-04-15,116.5,3.93
2021-04-16,116.5,3.93
2021-04-19,116.5,3.93
2021-04-20,116.5,3.93
2021-04-21,116.5,3.93
2021-04-22,116.5,3.93
2021-04-23,116.5,3.93
2021-04-26,116.5,3.93
2021-04-27,116.5,3.93
2021-04-28,116.5,3.93
2021-04-29,116.5,3.93
2021-04-30,116.5,3.93
2021-05-03,116.5,3.93
2021-05-04,116.5,3.93
2021-05-05,116.5,3.93
2021-05-06,116.5,3.93
2021-05-07,116.5,3.93
2021-05-10,116.5,3.93
2021-05-11,116.5,3.93
2021-05-20,116.5,3.93
2021-05-21,116.5,3.93
2021-05-24,116.5,3.93
2021-05-25,116.5,3.93
2021-05-27,116.5,3.93
2021-05-28,116.5,3.93
2021-05-31,116.5,3.93
2021-06-02,116.5,3.93
2021-06-03,116.5,3.93
2021-06-04,116.5,3.93
2021-06-07,116.5,3.93
2021-06-08,116.5,3.93
2021-06-09,116.5,3.93
2021-06-10,116.5,3.93
2021-06-11,116.5,3.93
2021-06-14,116.5,3.93
2021-06-15,116.5,3.93
2021-06-16,116.5,3.93
2021-06-17,116.5,3.93
2021-06-18,116.5,3.93
2021-06-21,116.5,3.93
2021-06-22,116.5,3.93
2021-06-23,116.5,3.93
2021-06-24,116.5,3.93
2021-06-25,116.5,3.93
2021-06-28,116.5,3.93
2021-06-29,116.5,3.93
2021-06-30,116.5,3.93
2021-07-01,116.5,3.93
2021-07-02,116.5,3.93
2021-07-05,116.5,3.93
2021-07-06,116.5,3.93
2021-07-07,116.5,3.93
2021-07-08,116.5,3.93
2021-07-09,116.5,3.93
2021-07-12,116.5,3.93
2021-07-13,116.5,3.93
2021-07-14,116.5,3.93
2021-07-15,116.5,3.93
2021-07-16,116.5,3.93
2021-07-19,116.5,3.93
2021-07-21,116.5,3.93
2021-07-22,116.5,3.93
2021-07-23,116.5,3.93
2021-07-26,116.5,3.93
2021-07-27,116.5,3.93
2021-07-28,116.5,3.93
2021-07-29,116.5,3.93
2021-07-30,116.5,3.93
2021-08-02,116.5,3.93
2021-08-03,116.5,3.93
2021-08-04,116.5,3.93
2021-08-05,116.5,3.93
2021-08-06,116.5,3.93
2021-08-09,116.5,3.93
2021-08-12,116.5,3.93
2021-08-13,116.5,3.93
2021-08-16,116.5,3.93
2021-08-18,116.5,3.93
2021-08-19,116.5,3.93
2021-08-20,116.5,3.93
2021-08-23,116.5,3.93
2021-08-24,116.5,3.93
2021-08-25,116.5,3.93
2021-08-26,116.5,3.93
2021-08-27,116.5,3.93
2021-08-30,116.5,3.93
2021-08-31,116.5,3.93
2021-09-01,116.5,3.93
2021-09-02,116.5,3.93
2021-09-03,116.5,3.93
2021-09-06,116.5,3.93
2021-09-07,116.5,3.93
2021-09-08,116.5,3.93
2021-09-09,116.5,3.93
2021-09-10,116.5,3.93
2021-09-13,116.5,3.93
2021-09-14,116.5,3.93
2021-09-15,116.5,3.93
2021-09-16,116.5,3.93
2021-09-17,116.5,3.93
2021-09-20,116.5,3.93
2021-09-21,116.5,3.93
2021-09-22,116.5,3.93
2021-09-23,116.5,3.93
2021-09-24,116.5,3.93
2021-09-27,116.5,3.93
2021-09-28,116.5,3.93
2021-09-29,116.5,3.93
2021-09-30,116.5,3.93
2021-10-01,116.5,3.93
2021-10-04,116.5,3.93
2021-10-05,116.5,3.93
2021-10-06,116.5,3.93
2021-10-07,116.5,3.93
2021-10-08,116.5,3.93
2021-10-11,116.5,3.93
2021-10-12,116.5,3.93
2021-10-13,116.5,3.93
2021-10-14,116.5,3.93
2021-10-15,116.5,3.93
2021-10-18,116.5,3.93
2021-10-21,116.5,3.93
2021-10-22,116.5,3.93
2021-10-25,116.5,3.93
2021-10-26,116.5,3.93
2021-10-27,120.25,3.7
2021-10-28,120.25,3.7
2021-10-29,120.25,3.7
